set,element,weight
ENSG00000155229,ENSG00000274184,0.8050824544819795
ENSG00000028277,ENSG00000274184,0.8025390177789202
ENSG00000155229,ENSG00000128016,0.8130639218848472
ENSG00000028277,ENSG00000128016,0.8090243059194315
ENSG00000155229,ENSG00000133597,0.8129500691844758
ENSG00000028277,ENSG00000133597,0.8111623396938418
ENSG00000128016,ENSG00000133597,0.8134186242992993
ENSG00000155229,ENSG00000240527,0.8106399864706406
ENSG00000155229,ENSG00000159199,0.8065593720827681
ENSG00000028277,ENSG00000159199,0.8084618987085318
ENSG00000128016,ENSG00000159199,0.809027020912246
ENSG00000155229,ENSG00000138081,0.8027773394581743
ENSG00000028277,ENSG00000235318,0.8033182962449235
ENSG00000155229,ENSG00000152234,0.8084696638419818
ENSG00000155229,ENSG00000213839,0.8121137942326685
ENSG00000028277,ENSG00000213839,0.8092524408327444
ENSG00000155229,ENSG00000108771,0.8120015825729442
ENSG00000028277,ENSG00000108771,0.8059938720993628
ENSG00000155229,ENSG00000171631,0.814466670138326
ENSG00000028277,ENSG00000171631,0.8101693945535315
ENSG00000028277,ENSG00000099377,0.8035449803533206
ENSG00000155229,ENSG00000139192,0.8111256662414332
ENSG00000028277,ENSG00000139192,0.8034962131296685
ENSG00000155229,ENSG00000163959,0.8113161516399219
ENSG00000028277,ENSG00000163959,0.80486860760285
ENSG00000128016,ENSG00000163959,0.805874941944382
ENSG00000155229,ENSG00000254783,0.8115655637362544
ENSG00000028277,ENSG00000254783,0.8060403475759136
ENSG00000155229,ENSG00000229474,0.8038021404058746
ENSG00000155229,ENSG00000173531,0.8080022323038668
ENSG00000028277,ENSG00000173531,0.807443058936409
ENSG00000114416,ENSG00000155313,0.8030215587275851
ENSG00000155229,ENSG00000062716,0.8107677909353219
ENSG00000028277,ENSG00000062716,0.8067379335900096
ENSG00000114416,ENSG00000062716,0.8090032535469622
ENSG00000128016,ENSG00000062716,0.8033614249565728
ENSG00000122779,ENSG00000062716,0.8028392299081079
ENSG00000155229,ENSG00000173114,0.8073949617348164
ENSG00000028277,ENSG00000173114,0.8081423075551535
ENSG00000155229,ENSG00000143924,0.8080474297625982
ENSG00000155229,ENSG00000136250,0.8120649687260006
ENSG00000028277,ENSG00000136250,0.8104240660949804
